image,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,0.019392285495996475,0.0002134763781214133,0.00017259146261494607,0.00011842379171866924,0.005347099155187607,5.767128459410742e-05,0.008068407885730267,0.019530348479747772,0.003379500238224864,1.3070993190922309e-05,0.00134433398488909,0.00025288498727604747,0.0003144016955047846,0.00010533992463024333,0.006039788480848074,0.01153522077947855,4.7653826186433434e-05,0.0009672389132902026,0.00014030354213900864,0.6786100268363953
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,8.353035809705034e-05,0.0008849743171595037,0.000997250317595899,0.0012600751360878348,0.000529120268765837,0.0008438700460828841,0.0016776744741946459,0.00046287616714835167,0.00017681474855635315,0.00018347449076827615,0.00011903118138434365,0.003214497584849596,0.00011243033804930747,0.00016350742953363806,0.026230735704302788,0.0010427481029182673,0.0042521837167441845,0.00012531565153039992,0.5330819487571716,0.0004985700943507254
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,0.10016759485006332,2.1446810933412053e-05,0.0001605612924322486,0.7676174640655518,0.011663757264614105,0.00034690022584982216,0.0011137801920995116,5.5837670515757054e-05,0.00011093280772911385,0.0001040049537550658,0.0011118307011201978,9.045851038536057e-05,0.00040361061110161245,9.197090548695996e-05,0.012841654010117054,7.052135333651677e-05,4.415158036863431e-05,0.0004271226061973721,0.0006126348744146526,0.00013142610259819776
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,0.0005295256851240993,0.001717103412374854,0.0005388993886299431,0.013593859039247036,0.0001539193617645651,0.001097829663194716,0.010754204355180264,6.549161480506882e-05,0.000555505626834929,0.3780621588230133,6.896573177073151e-05,0.003440050408244133,0.02675827033817768,0.0003751489566639066,0.005956050008535385,0.0010899241315200925,0.03288187086582184,4.2034342186525464e-05,0.0004008320684079081,1.0856511835299898e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,0.00031458487501367927,0.002853651996701956,0.00019871249969583005,3.994931830675341e-06,0.0006012829253450036,9.069119550986215e-05,0.00409296527504921,0.00024656104505993426,0.007302269339561462,1.3859752243661205e-06,0.0001405764778610319,0.000168450569617562,5.940813571214676e-05,6.651540024904534e-05,0.00520816445350647,0.002103966660797596,2.723250145209022e-05,0.00027907147887162864,0.0001487612898927182,0.9998829364776611
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,0.9999880790710449,0.002044664230197668,1.4857073438179214e-05,1.7058406228898093e-05,0.0004405484942253679,0.0002410323213553056,9.465025505051017e-05,7.654555702174548e-06,1.5154331777011976e-05,6.921662134118378e-05,2.6180550776189193e-05,0.00021070134243927896,0.0006750333704985678,0.00035848841071128845,0.23266179859638214,6.144394865259528e-05,0.00047896153409965336,0.0002695058938115835,2.9229053325252607e-05,4.367497967905365e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,8.20907473553234e-07,0.0006000857683829963,0.04712662845849991,9.210484131472185e-05,0.03657639026641846,4.8283578507835045e-05,0.0015446410980075598,0.0316733680665493,0.1314256191253662,0.0030401682015508413,0.0032490366138517857,0.09560137987136841,0.00045674285502173007,4.1038500057766214e-05,0.9972032308578491,0.003071204759180546,0.005768811330199242,4.0213628381025046e-05,0.00029503111727535725,0.0002100939309457317
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,6.334332283586264e-05,0.004480357747524977,0.0036881982814520597,0.0008215493871830404,0.0006560144247487187,0.00019017020531464368,0.9988987445831299,0.00042516030953265727,0.0003640241047833115,0.0011542212450876832,0.0004136073694098741,0.0026982645504176617,7.674716471228749e-05,0.004315032158046961,0.22683195769786835,0.0016895978478714824,0.0004434012225829065,0.001295512542128563,0.0001075515101547353,4.142789839534089e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,0.00014140919665805995,0.003211179282516241,0.0018327796133235097,0.00733923027291894,0.001989732263609767,0.49881282448768616,0.016142236068844795,0.001036141999065876,0.004332583863288164,0.0001594388741068542,0.010357442311942577,0.00012416958634275943,0.0003881462325807661,0.000762372394092381,0.3753742277622223,0.006721496116369963,0.0017738929018378258,0.0010217041708528996,0.003089863806962967,0.0009471889934502542
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,8.551635983167216e-05,0.0011639018775895238,6.984019273659214e-05,0.00033893759245984256,0.5737878680229187,0.0002854724880307913,0.0010092455195263028,0.0017779446206986904,0.010348213836550713,0.00015849711780901998,0.017650820314884186,0.0005271643167361617,5.880901517230086e-05,0.00015297810023184866,0.9996205568313599,0.004121753852814436,0.0008822305244393647,0.04210876673460007,5.9452224377309904e-05,0.004534721374511719
