image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
../data/VOCdevkit/VOC2012\JPEGImages\2008_000002.jpg,['tvmonitor'],0.019392285495996475,0.00021347637812141332,0.00017259146261494607,0.00011842379171866924,0.005347099155187607,5.767128459410742e-05,0.008068407885730267,0.01953034847974777,0.003379500238224864,1.3070993190922307e-05,0.00134433398488909,0.00025288498727604747,0.00031440169550478464,0.00010533992463024332,0.006039788480848074,0.01153522077947855,4.765382618643344e-05,0.0009672389132902025,0.00014030354213900864,0.6786100268363953
../data/VOCdevkit/VOC2012\JPEGImages\2008_000003.jpg,"['person', 'train']",8.353035809705034e-05,0.0008849743171595037,0.000997250317595899,0.0012600751360878348,0.0005291202687658371,0.0008438700460828841,0.001677674474194646,0.00046287616714835167,0.00017681474855635315,0.00018347449076827613,0.00011903118138434363,0.003214497584849596,0.00011243033804930747,0.00016350742953363806,0.026230735704302788,0.0010427481029182673,0.004252183716744185,0.00012531565153039992,0.5330819487571716,0.0004985700943507254
../data/VOCdevkit/VOC2012\JPEGImages\2008_000007.jpg,['boat'],0.10016759485006332,2.1446810933412053e-05,0.0001605612924322486,0.7676174640655518,0.011663757264614105,0.00034690022584982216,0.0011137801920995116,5.5837670515757054e-05,0.00011093280772911385,0.0001040049537550658,0.0011118307011201976,9.045851038536056e-05,0.0004036106111016125,9.197090548695996e-05,0.012841654010117054,7.052135333651677e-05,4.4151580368634307e-05,0.00042712260619737213,0.0006126348744146526,0.00013142610259819776
../data/VOCdevkit/VOC2012\JPEGImages\2008_000009.jpg,['cow'],0.0005295256851240994,0.0017171034123748539,0.0005388993886299431,0.013593859039247036,0.00015391936176456508,0.001097829663194716,0.010754204355180264,6.549161480506882e-05,0.000555505626834929,0.3780621588230133,6.896573177073151e-05,0.003440050408244133,0.02675827033817768,0.00037514895666390663,0.005956050008535385,0.0010899241315200925,0.03288187086582184,4.203434218652546e-05,0.0004008320684079081,1.0856511835299898e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000016.jpg,['tvmonitor'],0.0003145848750136793,0.002853651996701956,0.00019871249969583002,3.994931830675341e-06,0.0006012829253450036,9.069119550986215e-05,0.0040929652750492105,0.0002465610450599342,0.007302269339561462,1.3859752243661205e-06,0.00014057647786103192,0.00016845056961756202,5.9408135712146766e-05,6.651540024904534e-05,0.005208164453506471,0.002103966660797596,2.723250145209022e-05,0.00027907147887162864,0.0001487612898927182,0.9998829364776612
../data/VOCdevkit/VOC2012\JPEGImages\2008_000021.jpg,['aeroplane'],0.9999880790710448,0.002044664230197668,1.4857073438179215e-05,1.7058406228898093e-05,0.00044054849422536785,0.0002410323213553056,9.465025505051015e-05,7.654555702174546e-06,1.5154331777011976e-05,6.921662134118378e-05,2.6180550776189193e-05,0.00021070134243927896,0.0006750333704985678,0.00035848841071128845,0.2326617985963821,6.144394865259528e-05,0.0004789615340996533,0.0002695058938115835,2.922905332525261e-05,4.367497967905365e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000026.jpg,"['dog', 'person']",8.209074735532341e-07,0.0006000857683829963,0.047126628458499915,9.210484131472184e-05,0.036576390266418464,4.828357850783505e-05,0.0015446410980075598,0.0316733680665493,0.1314256191253662,0.003040168201550841,0.0032490366138517857,0.0956013798713684,0.00045674285502173007,4.1038500057766214e-05,0.9972032308578492,0.0030712047591805462,0.0057688113301992425,4.0213628381025046e-05,0.00029503111727535725,0.0002100939309457317
../data/VOCdevkit/VOC2012\JPEGImages\2008_000027.jpg,['car'],6.334332283586264e-05,0.004480357747524978,0.00368819828145206,0.0008215493871830404,0.0006560144247487187,0.00019017020531464368,0.99889874458313,0.00042516030953265727,0.00036402410478331154,0.0011542212450876832,0.00041360736940987414,0.0026982645504176612,7.674716471228749e-05,0.004315032158046961,0.22683195769786835,0.0016895978478714824,0.00044340122258290654,0.0012955125421285631,0.0001075515101547353,4.142789839534089e-05
../data/VOCdevkit/VOC2012\JPEGImages\2008_000032.jpg,"['bus', 'person']",0.00014140919665805995,0.003211179282516241,0.0018327796133235095,0.0073392302729189405,0.0019897322636097674,0.4988128244876862,0.016142236068844795,0.001036141999065876,0.004332583863288164,0.0001594388741068542,0.010357442311942577,0.00012416958634275946,0.00038814623258076614,0.000762372394092381,0.3753742277622223,0.0067214961163699636,0.0017738929018378258,0.0010217041708528996,0.0030898638069629674,0.0009471889934502543
../data/VOCdevkit/VOC2012\JPEGImages\2008_000034.jpg,"['bottle', 'person']",8.551635983167216e-05,0.0011639018775895238,6.984019273659214e-05,0.00033893759245984256,0.5737878680229187,0.0002854724880307913,0.0010092455195263028,0.0017779446206986906,0.010348213836550713,0.00015849711780901998,0.017650820314884186,0.0005271643167361617,5.8809015172300854e-05,0.00015297810023184866,0.99962055683136,0.004121753852814436,0.0008822305244393649,0.04210876673460007,5.94522243773099e-05,0.004534721374511719
